Event_key,country,start_year,start_month,start_day,end_year,end_month,end_day,event_type,total_affected,total_deaths
233,China,2005,1,20,2005,1,20,Bombing/Explosion,2.0,12.0
234,China,2005,2.0,28.0,2005,2.0,28.0,Storm,2481.0,1.0
235,China,2005,3.0,29.0,2005,3.0,29.0,Industrial accident,285.0,27.0
236,China,2005,4.0,24.0,2005,4.0,24.0,Industrial accident,39.0,29.0
237,China,2005,5.0,13.0,2005,5.0,13.0,Storm,13.0,15.0
238,China,2005,6.0,10.0,2005,6.0,10.0,Miscellaneous accident,15.0,31.0
239,China,2005,7.0,18.0,2005,7.0,18.0,Industrial accident,100.0,1.0
240,China,2005,8.0,19.0,2005,8.0,19.0,Industrial accident,16.0,16.0
241,China,2005,9.0,29.0,2005,9.0,29.0,Miscellaneous accident,344.0,0.0
242,China,2005,10.0,31.0,2005,10.0,31.0,Industrial accident,17.0,17.0
243,China,2005,11.0,6.0,2005,11.0,6.0,Industrial accident,3.0,37.0
244,China,2005,12.0,25.0,2005,12.0,25.0,Miscellaneous accident,8.0,26.0
245,China,2006,1.0,20.0,2006,1.0,20.0,Industrial accident,50.0,10.0
246,China,2006,2.0,23.0,2006,2.0,23.0,Industrial accident,12.0,15.0
247,China,2006,3.0,18.0,2006,3.0,18.0,Industrial accident,28.0,28.0
248,China,2006,4.0,29.0,2006,4.0,29.0,Industrial accident,30.0,30.0
249,China,2006,5.0,18.0,2006,5.0,18.0,Industrial accident,44.0,44.0
250,China,2006,6.0,27.0,2006,6.0,27.0,Industrial accident,36.0,26.0
251,China,2006,7.0,15.0,2006,7.0,15.0,Industrial accident,18.0,18.0
252,China,2006,8.0,4.0,2006,8.0,4.0,Industrial accident,16.0,18.0
253,China,2006,10.0,31.0,2006,10.0,31.0,Industrial accident,20.0,20.0
254,China,2006,11.0,29.0,2006,11.0,29.0,Industrial accident,27.0,11.0
255,China,2006,12.0,14.0,2006,12.0,14.0,Industrial accident,12.0,12.0
256,China,2007,1.0,30.0,2007,1.0,30.0,Industrial accident,127.0,1.0
257,China,2007,2.0,10.0,2007,2.0,10.0,Industrial accident,4.0,24.0
258,China,2007,3.0,28.0,2007,3.0,28.0,Industrial accident,80.0,26.0
259,China,2007,4.0,18.0,2007,4.0,18.0,Industrial accident,2.0,32.0
260,China,2007,5.0,26.0,2007,5.0,26.0,Miscellaneous accident,16.0,11.0
261,China,2007,6.0,1.0,2007,6.0,6.0,Flood,250000.0,0.0
262,China,2007,7.0,23.0,2007,7.0,23.0,Industrial accident,11.0,11.0
263,China,2007,8.0,13.0,2007,8.0,13.0,Industrial accident,122.0,64.0
264,China,2007,9.0,19.0,2007,9.0,19.0,Industrial accident,18.0,18.0
265,China,2007,10.0,24.0,2007,10.0,24.0,Miscellaneous accident,12.0,12.0
266,China,2007,11.0,15.0,2007,11.0,15.0,Industrial accident,6.0,10.0
267,China,2007,12.0,12.0,2007,12.0,12.0,Miscellaneous accident,202.0,21.0
268,China,2008,1.0,20.0,2008,1.0,20.0,Industrial accident,20.0,20.0
269,China,2008,2.0,17.0,2008,2.0,17.0,Industrial accident,5.0,24.0
270,China,2008,3,13,2008,3,13,Bombing/Explosion,36.0,2.0
271,China,2008,4.0,28.0,2008,4.0,28.0,Transport accident,240.0,70.0
272,China,2008,5.0,17.0,2008,5.0,17.0,Transport accident,29.0,16.0
273,China,2008,6.0,13.0,2008,6.0,13.0,Industrial accident,34.0,34.0
274,China,2008,7,21,2008,7,21,Bombing/Explosion,7.0,2.0
275,China,2008,8,4,2008,8,4,Armed Assault,17.0,16.0
276,China,2008,9.0,20.0,2008,9.0,20.0,Miscellaneous accident,51.0,43.0
277,China,2008,10.0,16.0,2008,10.0,16.0,Industrial accident,46.0,16.0
278,China,2008,11.0,15.0,2008,11.0,15.0,Industrial accident,20.0,20.0
279,China,2008,12.0,27.0,2008,12.0,27.0,Industrial accident,1.0,17.0
280,China,2009,1.0,31.0,2009,1.0,31.0,Miscellaneous accident,17.0,15.0
281,China,2009,2.0,22.0,2009,2.0,22.0,Industrial accident,73.0,73.0
282,China,2009,3.0,27.0,2009,3.0,27.0,Transport accident,11.0,20.0
283,China,2009,4.0,24.0,2009,4.0,24.0,Industrial accident,15.0,10.0
284,China,2009,5.0,16.0,2009,5.0,16.0,Industrial accident,6.0,11.0
285,China,2009,6.0,21.0,2009,6.0,21.0,Industrial accident,44.0,16.0
286,China,2009,7.0,15.0,2009,7.0,15.0,Industrial accident,108.0,2.0
287,China,2009,8.0,24.0,2009,8.0,24.0,Industrial accident,14.0,14.0
288,China,2009,9.0,10.0,2009,9.0,10.0,Industrial accident,10.0,10.0
289,China,2009,10.0,8.0,2009,10.0,8.0,Industrial accident,5.0,26.0
290,China,2009,11.0,27.0,2009,11.0,27.0,Industrial accident,17.0,17.0
291,China,2009,12.0,28.0,2009,12.0,28.0,Industrial accident,11.0,11.0
292,China,2010,1.0,8.0,2010,1.0,8.0,Industrial accident,12.0,12.0
293,China,2010,2.0,26.0,2010,2.0,26.0,Miscellaneous accident,50.0,19.0
294,China,2010,3.0,31.0,2010,3.0,31.0,Industrial accident,10.0,10.0
295,China,2010,4.0,14.0,2010,4.0,14.0,Earthquake,112000.0,2968.0
296,China,2010,5.0,3.0,2010,5.0,3.0,Miscellaneous accident,14.0,10.0
297,China,2010,6.0,21.0,2010,6.0,21.0,Industrial accident,26.0,46.0
298,China,2010,7.0,19.0,2010,7.0,19.0,Miscellaneous accident,17.0,12.0
299,China,2010,8,19,2010,8,19,Bombing/Explosion,14.0,7.0
300,China,2010,9.0,9.0,2010,9.0,9.0,Storm,186000.0,3.0
301,China,2010,10.0,28.0,2010,10.0,28.0,Industrial accident,1.0,12.0
302,China,2010,11.0,5.0,2010,11.0,5.0,Miscellaneous accident,27.0,19.0
303,China,2010,12.0,7.0,2010,12.0,7.0,Miscellaneous accident,26.0,26.0
304,China,2011,1.0,1.0,2011,1.0,24.0,Extreme temperature,4033472.0,2.0
305,China,2011,2.0,1.0,2011,2.0,1.0,Earthquake,64501.0,0.0
306,China,2011,3.0,24.0,2011,3.0,24.0,Industrial accident,6.0,13.0
307,China,2011,4.0,25.0,2011,4.0,25.0,Miscellaneous accident,6.0,18.0
308,China,2011,5.0,1.0,2011,5.0,1.0,Miscellaneous accident,35.0,10.0
309,China,2011,6.0,19.0,2011,6.0,24.0,Storm,0.0,0.0
310,China,2011,7.0,11.0,2011,7.0,11.0,Industrial accident,7.0,21.0
311,China,2011,8.0,23.0,2011,8.0,23.0,Industrial accident,19.0,23.0
312,China,2011,9.0,3.0,2011,9.0,3.0,Industrial accident,12.0,12.0
313,China,2011,10.0,6.0,2011,10.0,6.0,Industrial accident,12.0,12.0
314,China,2011,11.0,18.0,2011,11.0,18.0,Industrial accident,12.0,12.0
315,China,2012,2.0,16.0,2012,2.0,16.0,Industrial accident,3.0,15.0
316,China,2012,3.0,9.0,2012,3.0,9.0,Earthquake,36641.0,0.0
317,China,2012,4.0,14.0,2012,4.0,14.0,Industrial accident,42.0,11.0
318,China,2012,5,10,2012,5,10,Bombing/Explosion,14.0,4.0
319,China,2012,6.0,29.0,2012,6.0,29.0,Earthquake,155052.0,0.0
320,China,2012,8.0,30.0,2012,8.0,30.0,Industrial accident,45.0,45.0
321,China,2012,9.0,25.0,2012,9.0,25.0,Industrial accident,14.0,20.0
