disaster_key,country,start_year,start_month,start_day,end_year,end_month,end_day,disaster_group,disaster_subgroup,disaster_type,disaster_subtype,total_affected,total_disaster_deaths
2008-0304-USA,United States of America (the),2008,7.0,23.0,2008,7.0,23.0,Natural,Meteorological,Storm,Tropical cyclone,0.0,0.0
2008-0131-USA,United States of America (the),2008,3.0,17.0,2008,4.0,20.0,Natural,Hydrological,Flood,Riverine flood,1000.0,18.0
2008-0627-USA,United States of America (the),2008,6.0,9.0,2008,6.0,30.0,Natural,Hydrological,Flood,Riverine flood,11000148.0,24.0
2008-0338-USA,United States of America (the),2008,8.0,20.0,2008,8.0,28.0,Natural,Meteorological,Storm,Tropical cyclone,400.0,12.0
2008-0384-USA,United States of America (the),2008,9.0,12.0,2008,9.0,16.0,Natural,Meteorological,Storm,Tropical cyclone,200000.0,82.0
2008-0599-USA,United States of America (the),2008,1.0,29.0,2008,1.0,30.0,Natural,Meteorological,Storm,Convective storm,4.0,4.0
2008-0601-USA,United States of America (the),2008,4.0,9.0,2008,4.0,11.0,Natural,Meteorological,Storm,Convective storm,3.0,3.0
2008-0645-USA,United States of America (the),2008,4.0,28.0,2008,4.0,28.0,Natural,Meteorological,Storm,Convective storm,200.0,0.0
2008-0654-USA,United States of America (the),2008,12.0,11.0,2008,12.0,22.0,Natural,Meteorological,Storm,Convective storm,5.0,5.0
2008-0563-USA,United States of America (the),2008,12.0,11.0,2008,12.0,14.0,Natural,Meteorological,Extreme temperature,Severe winter conditions,0.0,0.0
2008-0099-USA,United States of America (the),2008,2.0,21.0,2008,2.0,21.0,Natural,Geophysical,Earthquake,Ground movement,2103.0,0.0
2008-0638-USA,United States of America (the),2008,12.0,29.0,2009,1.0,16.0,Natural,Hydrological,Flood,Riverine flood,30000.0,0.0
2008-0600-USA,United States of America (the),2008,1.0,4.0,2008,1.0,9.0,Natural,Meteorological,Storm,Extra-tropical storm,12.0,12.0
2008-0352-USA,United States of America (the),2008,9.0,1.0,2008,9.0,1.0,Natural,Meteorological,Storm,Tropical cyclone,2100000.0,43.0
2008-0378-USA,United States of America (the),2008,8.0,28.0,2008,8.0,28.0,Natural,Meteorological,Storm,Tropical cyclone,7.0,7.0
2008-0253-USA,United States of America (the),2008,6.0,20.0,2008,7.0,9.0,Natural,Climatological,Wildfire,Forest fire,300.0,1.0
2008-0356-USA,United States of America (the),2008,8.0,22.0,2008,8.0,22.0,Technological,Technological,Transport accident,Air,10.0,10.0
2008-0330-USA,United States of America (the),2008,8.0,8.0,2008,8.0,8.0,Technological,Technological,Transport accident,Road,26.0,12.0
2008-0474-USA,United States of America (the),2008,10.0,5.0,2008,10.0,5.0,Technological,Technological,Transport accident,Road,30.0,10.0
2008-0404-USA,United States of America (the),2008,9.0,13.0,2008,9.0,13.0,Technological,Technological,Transport accident,Rail,135.0,25.0
2008-0143-USA,United States of America (the),2008,4.0,3.0,2008,4.0,3.0,Technological,Technological,Miscellaneous accident,Fire,2.0,10.0
2008-0524-USA,United States of America (the),2008,11.0,13.0,2008,11.0,18.0,Natural,Climatological,Wildfire,None,55020.0,0.0
2009-0140-USA,United States of America (the),2009,4.0,9.0,2009,4.0,10.0,Natural,Meteorological,Storm,Convective storm,822.0,9.0
2009-0106-USA,United States of America (the),2009,3.0,24.0,2009,4.0,20.0,Natural,Hydrological,Flood,Riverine flood,5060.0,2.0
2009-0056-USA,United States of America (the),2009,1.0,26.0,2009,1.0,28.0,Natural,Meteorological,Extreme temperature,Cold wave,58.0,58.0
2009-0071-USA,United States of America (the),2009,2.0,12.0,2009,2.0,12.0,Technological,Technological,Transport accident,Air,50.0,50.0
