disaster_key,country,start_year,start_month,start_day,end_year,end_month,end_day,disaster_group,disaster_subgroup,disaster_type,disaster_subtype,total_affected,total_disaster_deaths
2007-0351-USA,United States of America (the),2007,6,24,2007,7,2,Natural,Climatological,Wildfire,Forest fire,768,
2007-0579-USA,United States of America (the),2007,11,24,2007,11,27,Natural,Climatological,Wildfire,Forest fire,10159,
2007-0493-USA,United States of America (the),2007,10,7,2007,10,7,Technological,Technological,Transport accident,Air,,10
2007-0336-USA,United States of America (the),2007,8,2,2007,8,2,Technological,Technological,Miscellaneous accident,Collapse,60,29
2007-9548-USA,United States of America (the),2007,10,,2009,6,,Natural,Climatological,Drought,Drought,,
2007-0118-USA,United States of America (the),2007,3,7,2007,3,8,Technological,Technological,Miscellaneous accident,Fire,,10
2008-0010-USA,United States of America (the),2008,1,5,2008,1,9,Natural,Hydrological,Flood,Riverine flood,1500,2
2008-0210-USA,United States of America (the),2008,5,22,2008,5,26,Natural,Meteorological,Storm,Convective storm,70,7
2008-0194-USA,United States of America (the),2008,5,10,2008,5,12,Natural,Meteorological,Storm,Convective storm,150,22
2008-0039-USA,United States of America (the),2008,2,5,2008,2,6,Natural,Meteorological,Storm,Convective storm,150,59
2008-0115-USA,United States of America (the),2008,3,14,2008,3,14,Natural,Meteorological,Storm,Convective storm,177,2
2008-0304-USA,United States of America (the),2008,7,23,2008,7,23,Natural,Meteorological,Storm,Tropical cyclone,,
2008-0131-USA,United States of America (the),2008,3,17,2008,4,20,Natural,Hydrological,Flood,Riverine flood,1000,18
2008-0627-USA,United States of America (the),2008,6,9,2008,6,30,Natural,Hydrological,Flood,Riverine flood,11000148,24
2008-0338-USA,United States of America (the),2008,8,20,2008,8,28,Natural,Meteorological,Storm,Tropical cyclone,400,12
2008-0384-USA,United States of America (the),2008,9,12,2008,9,16,Natural,Meteorological,Storm,Tropical cyclone,200000,82
2008-0599-USA,United States of America (the),2008,1,29,2008,1,30,Natural,Meteorological,Storm,Convective storm,,4
2008-0601-USA,United States of America (the),2008,4,9,2008,4,11,Natural,Meteorological,Storm,Convective storm,,3
2008-0645-USA,United States of America (the),2008,4,28,2008,4,28,Natural,Meteorological,Storm,Convective storm,200,
2008-0654-USA,United States of America (the),2008,12,11,2008,12,22,Natural,Meteorological,Storm,Convective storm,,5
2008-0563-USA,United States of America (the),2008,12,11,2008,12,14,Natural,Meteorological,Extreme temperature,Severe winter conditions,,
2008-0099-USA,United States of America (the),2008,2,21,2008,2,21,Natural,Geophysical,Earthquake,Ground movement,2103,
2008-0638-USA,United States of America (the),2008,12,29,2009,1,16,Natural,Hydrological,Flood,Riverine flood,30000,
2008-0600-USA,United States of America (the),2008,1,4,2008,1,9,Natural,Meteorological,Storm,Extra-tropical storm,,12
2008-0352-USA,United States of America (the),2008,9,1,2008,9,1,Natural,Meteorological,Storm,Tropical cyclone,2100000,43
2008-0378-USA,United States of America (the),2008,8,28,2008,8,28,Natural,Meteorological,Storm,Tropical cyclone,,7
2008-0253-USA,United States of America (the),2008,6,20,2008,7,9,Natural,Climatological,Wildfire,Forest fire,300,1
2008-0356-USA,United States of America (the),2008,8,22,2008,8,22,Technological,Technological,Transport accident,Air,,10
2008-0330-USA,United States of America (the),2008,8,8,2008,8,8,Technological,Technological,Transport accident,Road,26,12
2008-0474-USA,United States of America (the),2008,10,5,2008,10,5,Technological,Technological,Transport accident,Road,30,10
2008-0404-USA,United States of America (the),2008,9,13,2008,9,13,Technological,Technological,Transport accident,Rail,135,25
2008-0143-USA,United States of America (the),2008,4,3,2008,4,3,Technological,Technological,Miscellaneous accident,Fire,2,10
2008-0524-USA,United States of America (the),2008,11,13,2008,11,18,Natural,Climatological,Wildfire,,55020,
2009-0140-USA,United States of America (the),2009,4,9,2009,4,10,Natural,Meteorological,Storm,Convective storm,822,9
2009-0106-USA,United States of America (the),2009,3,24,2009,4,20,Natural,Hydrological,Flood,Riverine flood,5060,2
2009-0056-USA,United States of America (the),2009,1,26,2009,1,28,Natural,Meteorological,Extreme temperature,Cold wave,,58
2009-0071-USA,United States of America (the),2009,2,12,2009,2,12,Technological,Technological,Transport accident,Air,,50
2009-0111-USA,United States of America (the),2009,3,22,2009,3,22,Technological,Technological,Transport accident,Air,,14
2009-0601-USA,United States of America (the),2009,6,10,2009,6,18,Natural,Meteorological,Storm,Convective storm,2,1
2009-0244-USA,United States of America (the),2009,4,16,2009,4,18,Natural,Meteorological,Storm,Convective storm,,6
2009-0184-USA,United States of America (the),2009,5,3,2009,5,10,Natural,Hydrological,Flood,Riverine flood,900,
2009-0644-USA,United States of America (the),2009,3,26,2009,3,28,Natural,Meteorological,Storm,Convective storm,25,6
2009-0603-USA,United States of America (the),2009,7,20,2009,7,21,Natural,Meteorological,Storm,Convective storm,,1
2009-0287-USA,United States of America (the),2009,2,10,2009,2,13,Natural,Meteorological,Storm,Convective storm,50,16
2009-0477-USA,United States of America (the),2009,11,9,2009,11,10,Natural,Meteorological,Storm,Tropical cyclone,,6
2009-0342-USA,United States of America (the),2009,8,23,2009,8,23,Natural,Meteorological,Storm,Tropical cyclone,9,3
2009-0604-USA,United States of America (the),2009,5,7,2009,5,9,Natural,Meteorological,Storm,Convective storm,,7
2009-0599-USA,United States of America (the),2009,12,23,2009,12,25,Natural,Meteorological,Storm,Convective storm,,19
2009-0190-USA,United States of America (the),2009,4,6,2009,4,9,Natural,Hydrological,Flood,Riverine flood,1000,
2009-0405-USA,United States of America (the),2009,9,20,2009,9,21,Natural,Hydrological,Flood,Riverine flood,3000,9
2009-0178-USA,United States of America (the),2009,5,5,2009,5,11,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",263,
2009-0349-USA,United States of America (the),2009,7,7,2009,10,27,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",192,2
2009-0180-USA,United States of America (the),2009,5,13,2009,5,13,Technological,Technological,Transport accident,Water,16,12
2010-0690-USA,United States of America (the),2010,5,10,2010,5,16,Natural,Meteorological,Storm,Convective storm,,20
2010-0196-USA,United States of America (the),2010,5,12,2010,5,16,Natural,Meteorological,Storm,Convective storm,58,5
2010-0468-USA,United States of America (the),2010,9,3,2010,9,3,Natural,Meteorological,Storm,Tropical cyclone,,1
2010-0689-USA,United States of America (the),2010,6,17,2010,6,20,Natural,Meteorological,Storm,Convective storm,100,20
2010-0187-USA,United States of America (the),2010,4,30,2010,5,3,Natural,Meteorological,Storm,Convective storm,8000,30
2010-0612-USA,United States of America (the),2010,3,13,2010,3,15,Natural,Meteorological,Storm,Convective storm,,11
2010-0522-USA,United States of America (the),2010,9,7,2010,9,11,Natural,Meteorological,Storm,Tropical cyclone,,8
2010-0167-USA,United States of America (the),2010,4,20,2010,4,20,Technological,Technological,Industrial accident,Explosion,17,11
2010-0163-USA,United States of America (the),2010,4,24,2010,4,24,Natural,Meteorological,Storm,Convective storm,2770,12
2010-0663-USA,United States of America (the),2010,12,31,2011,1,1,Natural,Meteorological,Storm,Convective storm,13,8
2010-0045-USA,United States of America (the),2010,2,5,2010,2,11,Natural,Meteorological,Storm,Convective storm,,2
2010-0089-USA,United States of America (the),2010,2,23,2010,2,28,Natural,Meteorological,Storm,Convective storm,,1
2010-0655-USA,United States of America (the),2010,12,26,2010,12,26,Natural,Meteorological,Storm,Convective storm,,
2010-0027-USA,United States of America (the),2010,1,10,2010,1,10,Natural,Geophysical,Earthquake,Ground movement,630,
2010-0162-USA,United States of America (the),2010,3,27,2010,3,31,Natural,Hydrological,Flood,Riverine flood,,
2010-0225-USA,United States of America (the),2010,6,10,2010,6,11,Natural,Hydrological,Flood,Riverine flood,,20
2010-0651-USA,United States of America (the),2010,12,19,2010,12,19,Natural,Hydrological,Flood,Riverine flood,1000,
2010-0151-USA,United States of America (the),2010,4,5,2010,4,5,Technological,Technological,Industrial accident,Explosion,2,27
2010-0209-USA,United States of America (the),2010,6,7,2010,6,7,Technological,Technological,Industrial accident,Explosion,,13
2010-0474-USA,United States of America (the),2010,9,9,2010,9,9,Technological,Technological,Miscellaneous accident,Explosion,171,8
2011-0195-USA,United States of America (the),2011,5,29,2011,6,1,Natural,Meteorological,Storm,Convective storm,200,3
2011-0029-USA,United States of America (the),2011,1,31,2011,2,2,Natural,Meteorological,Storm,Convective storm,,39
2011-0145-USA,United States of America (the),2011,4,22,2011,4,29,Natural,Meteorological,Storm,Convective storm,17200,354
2011-0134-USA,United States of America (the),2011,4,14,2011,4,16,Natural,Meteorological,Storm,Convective storm,43,46
2011-0172-USA,United States of America (the),2011,5,20,2011,5,25,Natural,Meteorological,Storm,Convective storm,1150,176
2011-0189-USA,United States of America (the),2011,5,24,2011,5,24,Natural,Meteorological,Storm,Convective storm,,11
2011-0166-USA,United States of America (the),2011,5,1,2011,5,24,Natural,Hydrological,Flood,Riverine flood,25000,1
2011-0264-USA,United States of America (the),2011,7,19,2011,7,22,Natural,Meteorological,Extreme temperature,Heat wave,,22
2011-0140-USA,United States of America (the),2011,4,9,2011,4,30,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",1305,2
2011-0118-USA,United States of America (the),2011,3,12,2011,3,12,Technological,Technological,Transport accident,Road,20,14
2012-0060-USA,United States of America (the),2012,3,2,2012,3,4,Natural,Meteorological,Storm,Convective storm,,41
2012-0234-USA,United States of America (the),2012,6,30,2012,6,30,Natural,Meteorological,Storm,Convective storm,,1
2012-0612-USA,United States of America (the),2012,5,25,2012,5,30,Natural,Meteorological,Storm,Convective storm,,
2012-0613-USA,United States of America (the),2012,6,6,2012,6,7,Natural,Meteorological,Storm,Convective storm,2,
2012-0614-USA,United States of America (the),2012,6,11,2012,6,13,Natural,Meteorological,Storm,Convective storm,9003,
2012-0615-USA,United States of America (the),2012,7,2,2012,7,4,Natural,Meteorological,Storm,Convective storm,,1
2012-0616-USA,United States of America (the),2012,9,7,2012,9,9,Natural,Meteorological,Storm,Convective storm,,5
2012-0010-USA,United States of America (the),2012,1,22,2012,1,23,Natural,Meteorological,Storm,Convective storm,100,2
2012-0055-USA,United States of America (the),2012,2,28,2012,2,29,Natural,Meteorological,Storm,Convective storm,200,14
2012-0122-USA,United States of America (the),2012,4,2,2012,4,3,Natural,Meteorological,Storm,Convective storm,3300,
2012-0156-USA,United States of America (the),2012,4,14,2012,4,15,Natural,Meteorological,Storm,Convective storm,297,6
2013-0334-USA,United States of America (the),2013,8,2,2013,8,3,Natural,Meteorological,Storm,Convective storm,,
2013-0211-USA,United States of America (the),2013,6,12,2013,6,13,Natural,Meteorological,Storm,Convective storm,,4
2011-0610-USA,United States of America (the),2011,4,18,2011,5,23,Natural,Hydrological,Flood,Riverine flood,,9
2011-0328-USA,United States of America (the),2011,8,27,2011,9,13,Natural,Meteorological,Storm,Tropical cyclone,370000,46
2011-0456-USA,United States of America (the),2011,9,4,2011,9,9,Natural,Meteorological,Storm,Tropical cyclone,600,15
2011-0444-USA,United States of America (the),2011,10,29,2011,10,31,Natural,Meteorological,Storm,Convective storm,,29
2011-0527-USA,United States of America (the),2011,12,20,2011,12,20,Natural,Meteorological,Storm,Convective storm,,6
2011-0607-USA,United States of America (the),2011,1,7,2011,1,12,Natural,Meteorological,Storm,Convective storm,,11
2011-0608-USA,United States of America (the),2011,1,17,2011,1,24,Natural,Meteorological,Storm,Convective storm,,10
2011-0425-USA,United States of America (the),2011,8,6,2011,8,9,Natural,Hydrological,Flood,Riverine flood,100,2
2011-0646-USA,United States of America (the),2011,5,15,2011,6,30,Natural,Hydrological,Flood,Riverine flood,11000,5
2011-0609-USA,United States of America (the),2011,4,3,2011,4,5,Natural,Meteorological,Storm,Convective storm,,9
2011-0611-USA,United States of America (the),2011,8,13,2011,8,14,Natural,Meteorological,Storm,Convective storm,,7
2011-0349-USA,United States of America (the),2011,9,4,2011,9,9,Natural,Climatological,Wildfire,Forest fire,4800,4
2011-0639-USA,United States of America (the),2011,5,29,2011,6,23,Natural,Climatological,Wildfire,Forest fire,,2
2011-0375-USA,United States of America (the),2011,9,19,2011,9,19,Technological,Technological,Transport accident,Air,60,10
2011-9363-USA,United States of America (the),2011,1,,2011,11,,Natural,Climatological,Drought,Drought,,
2012-0410-USA,United States of America (the),2012,10,28,2012,10,28,Natural,Meteorological,Storm,Tropical cyclone,,54
2012-9235-USA,United States of America (the),2012,6,,2012,,,Natural,Climatological,Drought,Drought,,
2012-9489-USA,United States of America (the),2012,6,,2012,12,,Natural,Climatological,Drought,Drought,,
2012-0313-USA,United States of America (the),2012,8,28,2012,8,29,Natural,Meteorological,Storm,Tropical cyclone,60000,1
2012-0486-USA,United States of America (the),2012,12,19,2012,12,21,Natural,Meteorological,Storm,Convective storm,,7
2012-0493-USA,United States of America (the),2012,12,25,2012,12,27,Natural,Meteorological,Storm,Convective storm,,17
2012-0611-USA,United States of America (the),2012,1,18,2012,1,23,Natural,Meteorological,Storm,Convective storm,1,3
2012-0503-USA,United States of America (the),2012,6,28,2012,7,2,Natural,Meteorological,Storm,Convective storm,,28
2012-0601-USA,United States of America (the),2012,4,28,2012,4,29,Natural,Meteorological,Storm,Convective storm,100,1
2012-0177-USA,United States of America (the),2012,6,9,2012,6,12,Natural,Hydrological,Flood,Riverine flood,300,2
2012-0176-USA,United States of America (the),2012,6,22,2012,6,27,Natural,Meteorological,Storm,Tropical cyclone,17001,9
2012-0214-USA,United States of America (the),2012,6,30,2012,7,19,Natural,Meteorological,Extreme temperature,Heat wave,,123
