index,country_key,date_key,education_key,health_key,quality_of_life_key,event_key
1026,4,82,70,70,70,1554
1027,4,82,70,70,70,1555
1028,4,82,70,70,70,1559
1029,4,82,70,70,70,1561
1030,4,82,70,70,70,1562
1031,4,82,70,70,70,1563
1032,4,82,70,70,70,1564
1033,4,82,70,70,70,1570
1034,2,83,38,38,38,535
1035,3,83,54,54,54,882
1036,3,83,54,54,54,883
1037,4,83,70,70,70,1549
1038,4,83,70,70,70,1556
1039,4,83,70,70,70,1557
1040,4,83,70,70,70,1565
1041,4,83,70,70,70,1566
1042,4,83,70,70,70,1567
1043,4,83,70,70,70,1572
1044,3,85,55,55,55,865
1045,7,85,117,119,119,2137
1046,0,86,7,7,7,29
1047,3,86,55,55,55,863
1048,4,86,71,71,71,1599
1049,4,86,71,71,71,1601
1050,4,86,71,71,71,1602
1051,4,86,71,71,71,1608
1052,7,86,117,119,119,2132
1053,0,87,7,7,7,28
1054,2,87,39,39,39,541
1055,4,87,71,71,71,1586
1056,6,87,101,103,103,2011
1057,7,87,117,119,119,2132
1058,7,87,117,119,119,2136
1059,2,88,39,39,39,544
1060,3,88,55,55,55,890
1061,4,88,71,71,71,1575
1062,4,88,71,71,71,1579
1063,4,88,71,71,71,1580
1064,4,88,71,71,71,1609
1065,4,88,71,71,71,1610
1066,6,88,101,103,103,2008
1067,3,89,55,55,55,891
1068,4,89,71,71,71,1575
1069,4,89,71,71,71,1587
1070,4,89,71,71,71,1591
1071,4,89,71,71,71,1603
1072,4,89,71,71,71,1611
1073,7,89,117,119,119,2133
1074,2,90,39,39,39,543
1075,2,90,39,39,39,545
1076,3,90,55,55,55,858
1077,4,90,71,71,71,1574
1078,4,90,71,71,71,1581
1079,4,90,71,71,71,1582
1080,6,90,101,103,103,2007
1081,7,90,117,119,119,2134
1082,3,91,55,55,55,858
1083,3,91,55,55,55,886
1084,3,91,55,55,55,889
1085,3,91,55,55,55,893
1086,4,91,71,71,71,1574
1087,4,91,71,71,71,1576
1088,4,91,71,71,71,1577
1089,4,91,71,71,71,1584
1090,4,91,71,71,71,1588
1091,4,91,71,71,71,1589
1092,4,91,71,71,71,1592
1093,6,91,101,103,103,2007
1094,7,91,117,119,119,2135
1095,0,92,7,7,7,27
1096,2,92,39,39,39,542
1097,3,92,55,55,55,859
1098,3,92,55,55,55,862
1099,3,92,55,55,55,864
1100,3,92,55,55,55,867
1101,3,92,55,55,55,887
1102,3,92,55,55,55,888
1103,4,92,71,71,71,1573
1104,4,92,71,71,71,1578
1105,4,92,71,71,71,1592
1106,4,92,71,71,71,1593
1107,4,92,71,71,71,1594
1108,4,92,71,71,71,1596
1109,4,92,71,71,71,1597
1110,4,92,71,71,71,1600
1111,4,92,71,71,71,1604
1112,2,93,39,39,39,546
1113,3,93,55,55,55,860
1114,3,93,55,55,55,861
1115,3,93,55,55,55,892
1116,4,93,71,71,71,1583
1117,4,93,71,71,71,1590
1118,4,93,71,71,71,1612
1119,4,93,71,71,71,1613
1120,4,93,71,71,71,1614
1121,6,93,101,103,103,2009
1122,4,94,71,71,71,1595
1123,4,94,71,71,71,1598
1124,6,94,101,103,103,2010
1125,6,94,101,103,103,2012
1126,3,95,55,55,55,857
1127,4,95,71,71,71,1605
1128,4,95,71,71,71,1606
1129,6,95,101,103,103,2013
1130,6,95,101,103,103,2014
1131,6,95,101,103,103,2015
1132,3,96,56,56,56,866
1133,2,97,40,40,40,555
1134,3,97,56,56,56,866
1135,4,97,72,72,72,1634
1136,7,97,118,120,120,2138
1137,7,97,118,120,120,2144
1138,3,98,56,56,56,904
1139,3,98,56,56,56,906
1140,4,98,72,72,72,1630
1141,4,98,72,72,72,1652
1142,6,98,102,104,104,2019
1143,0,99,8,8,8,32
1144,2,99,40,40,40,556
1145,3,99,56,56,56,872
1146,3,99,56,56,56,894
1147,3,99,56,56,56,895
1148,4,99,72,72,72,1616
1149,4,99,72,72,72,1624
1150,4,99,72,72,72,1631
1151,4,99,72,72,72,1642
1152,4,99,72,72,72,1653
1153,4,99,72,72,72,1667
1154,6,99,102,104,104,2016
1155,6,99,102,104,104,2017
1156,7,99,118,120,120,2139
1157,3,100,56,56,56,878
1158,4,100,72,72,72,1632
1159,4,100,72,72,72,1660
1160,4,100,72,72,72,1662
1161,4,100,72,72,72,1665
1162,7,100,118,120,120,2143
1163,2,101,40,40,40,551
1164,2,101,40,40,40,553
1165,3,101,56,56,56,873
1166,3,101,56,56,56,877
1167,3,101,56,56,56,878
1168,3,101,56,56,56,896
1169,3,101,56,56,56,897
1170,4,101,72,72,72,1615
1171,4,101,72,72,72,1628
1172,4,101,72,72,72,1635
1173,4,101,72,72,72,1636
1174,4,101,72,72,72,1651
1175,4,101,72,72,72,1660
1176,6,101,102,104,104,2018
1177,0,102,8,8,8,31
1178,3,102,56,56,56,869
1179,3,102,56,56,56,879
1180,3,102,56,56,56,900
1181,3,102,56,56,56,907
1182,4,102,72,72,72,1617
1183,4,102,72,72,72,1619
1184,4,102,72,72,72,1622
1185,4,102,72,72,72,1629
1186,4,102,72,72,72,1650
1187,4,102,72,72,72,1658
1188,0,103,8,8,8,33
1189,0,103,8,8,8,34
1190,3,103,56,56,56,874
1191,3,103,56,56,56,901
1192,3,103,56,56,56,907
1193,4,103,72,72,72,1620
1194,4,103,72,72,72,1622
1195,4,103,72,72,72,1637
1196,4,103,72,72,72,1638
1197,4,103,72,72,72,1639
1198,4,103,72,72,72,1643
1199,4,103,72,72,72,1644
1200,4,103,72,72,72,1645
1201,4,103,72,72,72,1646
1202,4,103,72,72,72,1666
1203,2,104,40,40,40,547
1204,2,104,40,40,40,557
1205,3,104,56,56,56,875
1206,3,104,56,56,56,902
1207,4,104,72,72,72,1621
1208,4,104,72,72,72,1623
1209,4,104,72,72,72,1625
1210,4,104,72,72,72,1626
1211,4,104,72,72,72,1627
1212,4,104,72,72,72,1639
1213,4,104,72,72,72,1640
1214,4,104,72,72,72,1657
1215,4,104,72,72,72,1666
1216,2,105,40,40,40,548
1217,2,105,40,40,40,549
1218,2,105,40,40,40,550
1219,3,105,56,56,56,908
1220,4,105,72,72,72,1623
1221,4,105,72,72,72,1641
1222,4,105,72,72,72,1647
1223,4,105,72,72,72,1648
1224,7,105,118,120,120,2142
1225,2,106,40,40,40,552
1226,2,106,40,40,40,554
1227,3,106,56,56,56,868
1228,3,106,56,56,56,871
1229,3,106,56,56,56,876
1230,3,106,56,56,56,899
1231,3,106,56,56,56,905
1232,4,106,72,72,72,1618
1233,3,107,56,56,56,870
1234,3,107,56,56,56,898
1235,4,107,72,72,72,1633
1236,4,107,72,72,72,1649
1237,4,107,72,72,72,1654
1238,4,107,72,72,72,1655
1239,7,108,119,121,121,2145
1240,0,109,9,9,9,36
1241,0,109,9,9,9,37
1242,3,109,57,57,57,915
1243,3,109,57,57,57,925
1244,3,109,57,57,57,928
1245,3,109,57,57,57,935
1246,3,109,57,57,57,937
1247,4,109,73,73,73,1710
1248,4,109,73,73,73,1712
1249,4,109,73,73,73,1714
1250,7,109,119,121,121,2145
1251,7,109,119,121,121,2146
1252,4,110,73,73,73,1681
1253,4,110,73,73,73,1689
1254,6,110,103,105,105,2023
1255,7,110,119,121,121,2148
1256,3,111,57,57,57,909
1257,3,111,57,57,57,910
1258,4,111,73,73,73,1670
1259,4,111,73,73,73,1687
1260,7,111,119,121,121,2148
1261,2,112,41,41,41,564
1262,3,112,57,57,57,923
1263,4,112,73,73,73,1670
1264,4,112,73,73,73,1671
1265,4,112,73,73,73,1682
1266,4,112,73,73,73,1685
1267,4,112,73,73,73,1690
1268,4,112,73,73,73,1708
1269,6,112,103,105,105,2021
1270,2,113,41,41,41,558
1271,3,113,57,57,57,918
1272,3,113,57,57,57,929
1273,3,113,57,57,57,930
1274,4,113,73,73,73,1691
1275,4,113,73,73,73,1692
1276,4,113,73,73,73,1696
1277,4,113,73,73,73,1700
1278,6,113,103,105,105,2024
1279,7,113,119,121,121,2150
